# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:84 paragraphs:2, tables:0, lists:0

3.1.1. start:94 paragraphs:1, tables:0, lists:0

3.1.2. start:98 paragraphs:1, tables:0, lists:0

3.1.3. start:102 paragraphs:1, tables:0, lists:0

3.2. start:107 paragraphs:2, tables:0, lists:0

4. start:119 paragraphs:0, tables:0, lists:0

4.1. start:121 paragraphs:5, tables:0, lists:0

4.2. start:139 paragraphs:0, tables:0, lists:0

4.2.1. start:141 paragraphs:4, tables:0, lists:0

4.2.2. start:151 paragraphs:2, tables:0, lists:0

4.3. start:160 paragraphs:1, tables:0, lists:0

4.3.1. start:165 paragraphs:1, tables:0, lists:0

4.3.2. start:170 paragraphs:7, tables:0, lists:0

4.3.3. start:193 paragraphs:2, tables:0, lists:0

4.4. start:204 paragraphs:2, tables:0, lists:0

4.5. start:212 paragraphs:2, tables:0, lists:0

4.6. start:220 paragraphs:0, tables:1, lists:0

4.7. start:233 paragraphs:0, tables:1, lists:0

5. start:241 paragraphs:1, tables:0, lists:0

5.1. start:244 paragraphs:1, tables:0, lists:0

5.2. start:248 paragraphs:3, tables:1, lists:0

5.3. start:264 paragraphs:4, tables:2, lists:0

5.4. start:287 paragraphs:7, tables:1, lists:0

5.5. start:329 paragraphs:6, tables:2, lists:0

5.6. start:371 paragraphs:4, tables:1, lists:0

5.7. start:393 paragraphs:5, tables:1, lists:0

6. start:418 paragraphs:3, tables:1, lists:0

6.1. start:447 paragraphs:3, tables:1, lists:1

6.2. start:480 paragraphs:1, tables:1, lists:0

7. start:490 paragraphs:1, tables:1, lists:0

8. start:501 paragraphs:1, tables:0, lists:0

8.1. start:504 paragraphs:0, tables:1, lists:0

8.2. start:511 paragraphs:1, tables:1, lists:0

8.3. start:519 paragraphs:0, tables:1, lists:0

8.4. start:525 paragraphs:0, tables:1, lists:0

9. start:532 paragraphs:0, tables:0, lists:0

9.1. start:534 paragraphs:1, tables:0, lists:0

9.1.1. start:541 paragraphs:9, tables:0, lists:0

9.1.2. start:579 paragraphs:5, tables:0, lists:0

9.1.3. start:595 paragraphs:13, tables:0, lists:0

9.1.4. start:644 paragraphs:1, tables:1, lists:0

9.1.5. start:654 paragraphs:10, tables:0, lists:0

9.1.6. start:685 paragraphs:11, tables:0, lists:0

9.1.7. start:719 paragraphs:7, tables:1, lists:0

9.1.8. start:747 paragraphs:6, tables:1, lists:0

9.1.9. start:770 paragraphs:9, tables:1, lists:1

9.1.10. start:811 paragraphs:11, tables:0, lists:0

9.1.11. start:852 paragraphs:6, tables:0, lists:1

9.1.12. start:884 paragraphs:6, tables:0, lists:1

9.2. start:913 paragraphs:4, tables:1, lists:0

9.3. start:929 paragraphs:3, tables:0, lists:0

10. start:940 paragraphs:0, tables:0, lists:0

10.1. start:942 paragraphs:2, tables:0, lists:0

10.2. start:948 paragraphs:3, tables:0, lists:0

10.3. start:957 paragraphs:1, tables:0, lists:0

11. start:961 paragraphs:1, tables:0, lists:0

12. start:967 paragraphs:1, tables:0, lists:0

12.1. start:970 paragraphs:3, tables:0, lists:0

12.2. start:980 paragraphs:2, tables:0, lists:0

12.3. start:987 paragraphs:2, tables:0, lists:0

12.4. start:995 paragraphs:3, tables:0, lists:0

12.5. start:1002 paragraphs:8, tables:0, lists:1

